s_m,x_m,y_m,z_m,heading_rad,curvature_radpm,slope_pct
238.0,832.9277593437313,-320.66818489045784,0.0,-0.88220574624251,-8.071310563072849e-05,0.0
239.0,833.5612666617559,-321.43803058620165,0.0,-0.8822863485879117,-8.049076348976003e-05,0.0
240.0,834.1947118955907,-322.20792712975634,0.0,-0.882366728497834,-8.0268239239686e-05,0.0
241.0,834.8280956912022,-322.9778749571005,0.0,-0.8824468857907416,-8.004553388337879e-05,0.0
242.0,835.4614186945569,-323.74787450421263,0.0,-0.8825268202859777,-7.982264845900795e-05,0.0
243.0,836.0946815516215,-324.5179262070714,0.0,-0.8826065318039208,-7.959958399303016e-05,0.0
244.0,836.7278849083626,-325.2880305016552,0.0,-0.8826860201660868,-7.937634148612911e-05,0.0
245.0,837.3610294107468,-326.0581878239427,0.0,-0.8827652851948999,-7.915292196626027e-05,0.0
246.0,837.9941157047408,-326.8283986099124,0.0,-0.8828443267139479,-7.892932646184703e-05,0.0
247.0,838.627144436311,-327.598663295543,0.0,-0.8829231445477003,-7.870555599366017e-05,0.0
248.0,839.2601162514242,-328.36898231681283,0.0,-0.8830017385216812,-7.848161160009129e-05,0.0
249.0,839.8930317960468,-329.1393561097006,0.0,-0.8830801084625658,-7.825749430034891e-05,0.0
250.0,840.5258917161455,-329.9097851101848,0.0,-0.8831582541977986,-7.80332051136891e-05,0.0
251.0,841.158696657687,-330.680269754244,0.0,-0.8832361755561202,-7.780874508401496e-05,0.0
252.0,841.7914472666376,-331.45081047785675,0.0,-0.8833138723672678,-7.758411523454769e-05,0.0
253.0,842.4241441889643,-332.22140771700174,0.0,-0.8833913444617849,-7.73593165999596e-05,0.0
254.0,843.0567880706334,-332.9920619076572,0.0,-0.8834685916714549,-7.71343502217906e-05,0.0
255.0,843.6893795576117,-333.7627734858021,0.0,-0.8835456138291028,-7.690921711326983e-05,0.0
256.0,844.3219192958655,-334.5335428874146,0.0,-0.8836224107684278,-7.668391831996571e-05,0.0
257.0,844.9544079313619,-335.30437054847357,0.0,-0.883698982324336,-7.645845489815237e-05,0.0
258.0,845.586846110067,-336.0752569049574,0.0,-0.8837753283326879,-7.623282786242294e-05,0.0
259.0,846.2192344779477,-336.84620239284476,0.0,-0.8838514486302859,-7.60070382482111e-05,0.0
260.0,846.8515736809705,-337.617207448114,0.0,-0.8839273430552463,-7.578108710977668e-05,0.0
261.0,847.483864365102,-338.3882725067439,0.0,-0.8840030114465676,-7.555497548260093e-05,0.0
262.0,848.1161071763088,-339.15939800471295,0.0,-0.884078453644064,-7.532870440909603e-05,0.0
263.0,848.7483027605575,-339.93058437799954,0.0,-0.8841536694889416,-7.510227493009604e-05,0.0
264.0,849.3804517638148,-340.7018320625825,0.0,-0.8842286588233591,-7.487568807964687e-05,0.0
265.0,850.0125548320472,-341.4731414944402,0.0,-0.8843034214904212,-7.464894491832073e-05,0.0
266.0,850.6446126112212,-342.2445131095513,0.0,-0.8843779573342799,-7.442204650120226e-05,0.0
267.0,851.2766257473037,-343.0159473438942,0.0,-0.8844522662002736,-7.419499384693693e-05,0.0
268.0,851.908594886261,-343.78744463344765,0.0,-0.8845263479346553,-7.396778800708834e-05,0.0
269.0,852.54052067406,-344.55900541419004,0.0,-0.8846002023848327,-7.37404300514515e-05,0.0
270.0,853.1724037566669,-345.33063012210016,0.0,-0.8846738293991897,-7.351292101480191e-05,0.0
271.0,853.8042447800485,-346.10231919315623,0.0,-0.8847472288269681,-7.328526194959923e-05,0.0
272.0,854.4360443901717,-346.8740730633371,0.0,-0.8848204005189114,-7.305745391003196e-05,0.0
273.0,855.0678032330027,-347.64589216862123,0.0,-0.88489334432651,-7.282949793044731e-05,0.0
274.0,855.6995219545081,-348.417776944987,0.0,-0.8849660601022508,-7.260139508543016e-05,0.0
275.0,856.3312012006548,-349.1897278284132,0.0,-0.8850385476999726,-7.237314642993027e-05,0.0
